"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"V1","integer",71,0,2,0.0563380281690141,0,0,NA,0.232214429455805,NA,0,1,1,3.76732154577501,6.61386807038951,12.3674940117899,10.9931090363884,NA,NA
"V2","integer",71,0,2,0.140845070422535,0,0,NA,0.350337577931723,NA,0,1,1,2.02145834045573,3.54884992191776,2.11669880748355,1.88147257364166,NA,NA
"V3","integer",71,0,2,0.0422535211267606,0,0,NA,0.202598809636177,NA,0,1,1,4.45510362255749,7.82133068321568,18.103519765375,16.0916970352653,NA,NA
"V4","integer",71,0,2,0.23943661971831,0,0,NA,0.42977697646219,NA,0,1,1,1.19547340870532,2.09875990428878,-0.578397445954067,-0.514120822187601,NA,NA
"V5","integer",71,0,2,0.197183098591549,0,0,NA,0.400703606524436,NA,0,1,1,1.49013819574815,2.61607014786922,0.224262799430639,0.199340739894155,NA,NA
"V6","integer",71,0,2,0.169014084507042,0,0,NA,0.377431753261727,NA,0,1,1,1.72918223872395,3.03573322787033,1.0048158770399,0.893151877596527,NA,NA
"V7","integer",71,0,2,0.0422535211267606,0,0,NA,0.202598809636177,NA,0,1,1,4.45510362255747,7.82133068321565,18.1035197653749,16.0916970352652,NA,NA
"V8","integer",71,0,1,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA
"V9","integer",71,0,2,0.0704225352112676,0,0,NA,0.257678851173418,NA,0,1,1,3.28724748680044,5.7710553580966,8.93239677072248,7.93975008706109,NA,NA
"V10","integer",71,0,2,0.112676056338028,0,0,NA,0.318446935460565,NA,0,1,1,2.39831905618775,4.21046242949876,3.8061341444599,3.383162960684,NA,NA
"V11","integer",71,0,2,0.154929577464789,0,0,NA,0.364412926066166,NA,0,1,1,1.86716908980978,3.27798141864493,1.50815434648008,1.34055493851492,NA,NA
"V12","integer",71,0,2,0.183098591549296,0,0,NA,0.389500014851626,NA,0,1,1,1.60430293411258,2.8164965008254,0.582585662290696,0.517843606998546,NA,NA
"V13","integer",71,0,2,0.211267605633803,0,0,NA,0.411113225896519,NA,0,1,1,1.38485323746832,2.43123303869276,-0.0827547444290122,-0.0735583076021178,NA,NA
"V14","integer",71,0,2,0.112676056338028,0,0,NA,0.318446935460565,NA,0,1,1,2.39831905618775,4.21046242949876,3.80613414445991,3.38316296068401,NA,NA
"V15","integer",71,0,2,0.267605633802817,0,0,NA,0.445861813277652,NA,0,1,1,1.02776779390711,1.80433778038411,-0.956573907721867,-0.850270981245357,NA,NA
"V16","integer",71,0,2,0.352112676056338,0,0,NA,0.48102840870356,NA,0,1,1,0.606219513234492,1.06427227766773,-1.65521851254496,-1.47127603782215,NA,NA
